Relatório de Monitoramento do OCA 3º quadrimestre 2014;;;;;;;;;;;;;;;;;;;;;;;;
classif01;desc_classif01;classif02;desc_classif02;classif03;desc_classif03;funcao;nome_funcao;subfuncao;nome_subfuncao;programa;nome_programa;projativ;nome_projativ;subitem_projativ;nome_subitem_projativ;indice_proporcionalidade;valor_credito_inicial;valor_orcado;valor_empenhado;valor_liquidado;valor_pago;valor_empenhado_acumulado;valor_liquidado_acumulado;valor_pago_acumulado
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;2;Apoio aos Conselhos Municipais;0.25;0;30062;89.775;89.775;89.775;682.05;682.05;682.05
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;1;Gerenciamento da Infraestrutura;0.25;0;3805811;758383.5575;995400.97;977488.1;2873217.203;2576701.403;2555361.8
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;2;Participação da Fundação em Eventos Locais, Nacionais e Internacionais;0.25;0;52500;1290.7025;8745.6975;11956.8775;29615.4025;25692.025;25207.7225
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;3;Ações de Divulgação e Comunicação Institucional;0.25;0;569650;249858.58;166657.8225;49865.73;324733.58;227286.0425;102121.45
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;250321;-1428;19887;19887;19887;19887;19887
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2900;Serviços Administrativos e Financeiros;1;Serviços Administrativos e Financeiros ;0.25;0;2228966;818711.175;999168.4525;1010856.343;2570829.78;2238933.423;2220420.813
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;239;Rede BH Cultural ;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;40792;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;1;Preservação do Patrimônio Cultural;0.25;0;2036306;475288.9675;456198.3025;461328.3025;1263110.77;1243609.288;1243609.288
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;424902;-7930.0775;-7870.0775;54914.4;278197.1;273220.9225;190777.65
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;5;Tratamento e Preservação de Acervos;0.25;0;109875;3129;11001.5;11001.5;15556.5;14594;14594
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2872;Gestão do Fundo de Proteção do Patrimônio Cultural de BH;1;Preservação do Patrimônio Cultural;0.25;0;820500;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;82500;0;0;0;30000;30000;30000
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;10;Presépios e Folias;0.25;0;40000;0;0;36250;36250;36250;36250
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2369;Gestão da Lei Municipal de Incentivo à Cultura;1;Incentivos a Projetos Culturais;0.25;0;2500000;1810916.775;618264.1625;104301.3;2415566.445;929608.4375;334122.075
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;1;Fomento à Produção e Difusão Cultural;0.25;0;2662062;730476.66;646351.1675;637437.1125;1791404.703;1665317.198;1647101.893
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;2;Formação e Qualificação Técnica na Área Cultural;0.25;0;399404;25.3875;1675.3875;5081.6375;78575.3875;78575.3875;78575.3875
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;EX;EX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;3;Projeto Arena da Cultura / Escola Livre de Artes;1;0;5481544;1853759.54;812002.91;1498439.28;3756129.31;2714372.68;1902369.77
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;5;Promoção de Festival, Encontro e Mostra de Arte e Cultura;0.25;0;233777;0;0;5000;104973.75;104973.75;96963.75
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1215;Construção, Ampliação e Reforma de Unidades de Cultura;1;Construção, Ampliação e Reforma de Unidades de Cultura;0.25;0;2170579;184887.5975;156575.9725;184340.16;564480.8325;520764.385;520764.385
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;1;Implantação da Casa da Música;0.25;0;49900;0;0;0;0;0;0
