Relatório de Monitoramento do OCA 2º quadrimestre 2015;;;;;;;;;;;;;;;;;;;;;;;;
classif01;desc_classif01;classif02;desc_classif02;classif03;desc_classif03;funcao;nome_funcao;subfuncao;nome_subfuncao;programa;nome_programa;projativ;nome_projativ;subitem_projativ;nome_subitem_projativ;indice_proporcionalidade;valor_credito_inicial;valor_orcado;valor_empenhado;valor_liquidado;valor_pago;valor_empenhado_acumulado;valor_liquidado_acumulado;valor_pago_acumulado
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;2;Apoio aos Conselhos Municipais;0.25;0;27941;1754.95;1754.95;1754.95;1820.05;1820.05;1820.05
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;3;Realização de Conferências;0.25;0;12500;3090;3090;3090;3090;3090;3090
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;12;Participação em Fóruns e Grupos de Trabalho;0.25;0;2500;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;1;Gerenciamento da Infraestrutura;0.25;0;3150422;1192119.943;1018907.14;985664.26;2296571.415;1803907.815;1770092.685
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;2;Participação da Fundação em Eventos Locais, Nacionais e Internacionais;0.25;0;157250;15242.03;11752.3325;10322.3325;24792.3625;15351.345;13921.345
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;3;Ações de Divulgação e Comunicação Institucional;0.25;0;240750;82100;93591.975;77515.7;180850;109652.2875;84471.7
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;788750;7140.13;146.055;146.055;7140.13;146.055;146.055
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;5;Desenvolvimento Organizacional e Capacitação de Recursos Humanos;0.25;0;1899750;628330.7575;525715.875;531000.8025;1274124.698;1105370.365;1104709.433
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2900;Serviços Administrativos e Financeiros;1;Serviços Administrativos e Financeiros ;0.25;0;2619600;884562.435;955377.5125;959575.5475;2079175.848;1628395.465;1612583.62
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;239;Rede BH Cultural ;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;17500;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;1;Preservação do Patrimônio Cultural;0.25;0;1605000;438298.6075;341806.49;341806.49;856661.44;755517.585;755517.585
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;402000;12644;35394;81947;118911.4025;118661.4025;118649.4025
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;4;Aquisição e Desenvolvimento de Acervos;0.25;0;45000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;5;Tratamento e Preservação de Acervos;0.25;0;145000;1249.1625;1249.1625;1249.1625;1249.1625;1249.1625;1249.1625
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2872;Gestão do Fundo de Proteção do Patrimônio Cultural de BH;1;Preservação do Patrimônio Cultural;0.25;0;640925;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;8;Implantação do CINEMIS Santa Tereza;0.25;0;57500;12500;12500;12500;12500;12500;12500
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;10000;0;0;0;25000;25000;25000
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;10;Presépios e Folias;0.25;0;42000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2369;Gestão da Lei Municipal de Incentivo à Cultura;1;Incentivos a Projetos Culturais;0.25;0;2575000;40017.175;39834.7;261266.225;468141.0025;445740.2775;380526.9025
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;1;Fomento à Produção e Difusão Cultural;0.25;0;1722500;626838.0725;479540.7875;403490.7875;1055181.365;906153.895;790103.895
