Relatório de Monitoramento do OCA 3º quadrimestre 2015;;;;;;;;;;;;;;;;;;;;;;;;
classif01;desc_classif01;classif02;desc_classif02;classif03;desc_classif03;funcao;nome_funcao;subfuncao;nome_subfuncao;programa;nome_programa;projativ;nome_projativ;subitem_projativ;nome_subitem_projativ;indice_proporcionalidade;valor_credito_inicial;valor_orcado;valor_empenhado;valor_liquidado;valor_pago;valor_empenhado_acumulado;valor_liquidado_acumulado;valor_pago_acumulado
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;2;Apoio aos Conselhos Municipais;0.25;0;27941;42.5;42.5;42.5;1862.55;1862.55;1862.55
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;3;Realização de Conferências;0.25;0;12500;0;0;0;3090;3090;3090
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;12;Participação em Fóruns e Grupos de Trabalho;0.25;0;2500;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;1;Gerenciamento da Infraestrutura;0.25;0;3150422;725976.4025;1033975.88;722179.65;3022547.818;2837883.695;2492272.335
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;2;Participação da Fundação em Eventos Locais, Nacionais e Internacionais;0.25;0;157250;17893.8975;17042.7725;10046.9525;42686.26;32394.1175;23968.2975
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;3;Ações de Divulgação e Comunicação Institucional;0.25;0;240750;789500;556440.0325;211035.755;970350;666092.32;295507.455
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;788750;18750;6994.075;6994.075;25890.13;7140.13;7140.13
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;5;Desenvolvimento Organizacional e Capacitação de Recursos Humanos;0.25;0;1899750;614576.68;754448.765;732982.4025;1888701.378;1859819.13;1837691.835
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2900;Serviços Administrativos e Financeiros;1;Serviços Administrativos e Financeiros ;0.25;0;2619600;832198.91;999259.3375;817418.5675;2911374.758;2627654.803;2430002.188
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;122;Administração Geral;239;Rede BH Cultural ;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;17500;0;0;0;0;0;0
