classif01;desc_classif01;classif02;desc_classif02;classif03;desc_classif03;funcao;nome_funcao;subfuncao;nome_subfuncao;programa;nome_programa;projativ;nome_projativ;subitem_projativ;nome_subitem_projativ;indice_proporcionalidade;valor_credito_inicial;valor_orcado;valor_empenhado;valor_liquidado;valor_pago;valor_empenhado_acumulado;valor_liquidado_acumulado;valor_pago_acumulado
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;12;Educação;361;Ensino Fundamental;85;Gestão da Política de Tecnologia da Informação e Comunicação;2605;Evolução da Rede de Telecomunicações da PBH ;1;Serviços de Informática - Educação ;0,25;0;299499;95004,405;33511,51;29396,96;95004,405;33511,51;29396,96
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;EX;EX;12;Educação;361;Ensino Fundamental;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;26;Projeto Arte na Escola;1;0;200000;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;EX;EX;12;Educação;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;3;Projeto Arena da Cultura / Escola Livre de Artes;1;0;1902200;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;2;Apoio aos Conselhos Municipais;0,25;0;4875;215,525;215,525;215,525;215,525;215,525;215,525
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;1;Gerenciamento da Infraestrutura;0,25;0;3350085;809962,88;570596,01;569967,28;809962,88;570596,01;569967,28
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;2;Participação da Fundação em Eventos Locais, Nacionais e Internacionais;0,25;0;136750;10952,5;8271,0575;4867,5325;10952,5;8271,0575;4867,5325
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;3;Ações de Divulgação e Comunicação Institucional;0,25;0;84250;20833,75;0;0;20833,75;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0,25;0;561300;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;5;Desenvolvimento Organizacional e Capacitação de Recursos Humanos;0,25;0;2135075;734173,0825;537521,68;527644,995;734173,0825;537521,68;527644,995
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2900;Serviços Administrativos e Financeiros;1;Serviços Administrativos e Financeiros ;0,25;0;2687242;1078282,385;655785,71;636202,045;1078282,385;655785,71;636202,045
