Demonstrativo do Orçamento OCA 2º Quadrimestre 2016;;;;;;;;;;;;;;;;;;;;;;;
Eixo;Nome;Sub eixo;Nome;classif03;Função;Nome;Sub função;Nome;programa;Nome;Ação;Nome;Sub ação;Nome;indice_proporcionalidade;valor_credito_inicial;Orçado;valor_empenhado;valor_liquidado;valor_pago;Empenhado;Liquidado ;Pago
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;12;Educação;361;Ensino Fundamental;85;Gestão da Política de Tecnologia da Informação e Comunicação;2605;Evolução da Rede de Telecomunicações da PBH ;1;Serviços de Informática - Educação ;0.25;0;299,499.00;77,136.94;118,965.76;115,752.58;172,141.34;152,477.27;145,149.54
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;EX;12;Educação;361;Ensino Fundamental;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;26;Projeto Arte na Escola;1;0;200,000.00;119,500.00;13,200.00;385.00;119,500.00;13,200.00;385.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;EX;12;Educação;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;3;Projeto Arena da Cultura / Escola Livre de Artes;1;0;1,902,200.00;740,878.38;0.00;0.00;740,878.38;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2334;Gestão Compartilhada e Participação Social;2;Apoio aos Conselhos Municipais;0.25;0;4,875.00;1,242.28;1,242.28;1,242.28;1,457.80;1,457.80;1,457.80
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;1;Gerenciamento da Infraestrutura;0.25;0;3,350,085.00;620,351.85;792,398.21;792,172.92;1,430,314.73;1,362,994.22;1,362,140.20
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;2;Participação da Fundação em Eventos Locais, Nacionais e Internacionais;0.25;0;136,750.00;8,789.20;10,216.99;12,311.17;19,741.70;18,488.04;17,178.71
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;3;Ações de Divulgação e Comunicação Institucional;0.25;0;84,250.00;31,066.25;9,009.55;9,009.55;51,900.00;9,009.55;9,009.55
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;561,300.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2338;Gestão, Planejamento e Administração Cultural;5;Desenvolvimento Organizacional e Capacitação de Recursos Humanos;0.25;0;2,135,075.00;573,893.07;752,057.05;745,193.17;1,308,066.15;1,289,578.73;1,272,838.16
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;146;Gestão da Política Cultural;2900;Serviços Administrativos e Financeiros;1;Serviços Administrativos e Financeiros ;0.25;0;2,687,242.00;863,777.51;1,066,956.32;1,039,432.88;1,942,059.89;1,722,742.03;1,675,634.93
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;122;Administração Geral;239;Rede BH Cultural ;2338;Gestão, Planejamento e Administração Cultural;4;Gerenciamento de Programas e Informações Culturais;0.25;0;39,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;1;Preservação do Patrimônio Cultural;0.25;0;1,631,000.00;521,054.52;523,537.00;523,537.00;947,468.57;945,958.27;945,958.27
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;452,000.00;2,500.00;2,500.00;26,375.00;33,875.00;33,875.00;33,875.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;3;Atendimento aos Usuários de Serviços de Patrimônio;0.25;0;1,250.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;4;Aquisição e Desenvolvimento de Acervos;0.25;0;17,500.00;0.00;0.00;0.00;0.00;0.00;0.00
