PPACODNUMERO;ANO REFERÊNCIA;ÁREA DE RESULTADO;ÁREA DE RESULTADO NOME;U.O.;U.O. NOME;PROGRAMA;PROGRAMA NOME;AÇÃO;AÇÃO NOME;SUBAÇÃO;SUBAÇÃO NOME;PRODUTO;UNIDADE DE MEDIDA;META FÍSICA ANO 1;META FÍSICA ANO 2;META FÍSICA ANO 3;META FÍSICA ANO 4
9;2024;01;SAÚDE;2301;HOSPITAL METROPOLITANO ODILON BEHRENS;0030;ATENDIMENTO AMBULATORIAL, EMERGENCIAL E HOSPITALAR;2620;Gestão de Apoio à Assistência;0001;Gestão Técnico-Hospitalar;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2301;HOSPITAL METROPOLITANO ODILON BEHRENS;0030;ATENDIMENTO AMBULATORIAL, EMERGENCIAL E HOSPITALAR;2875;Gestão da Assistência à Saúde;0001;UNIDADES DE URGÊNCIA E EMERGÊNCIA;Pessoa atendida;Pessoa;234641;236987;239357;244144
9;2024;01;SAÚDE;2301;HOSPITAL METROPOLITANO ODILON BEHRENS;0030;ATENDIMENTO AMBULATORIAL, EMERGENCIAL E HOSPITALAR;2875;Gestão da Assistência à Saúde;0002;UNIDADES DE CUIDADO CLÍNICO E DE CUIDADO CIRÚRGICO;Internação realizada;UNIDADE;127455;24235;24719;25461
9;2024;01;SAÚDE;2301;HOSPITAL METROPOLITANO ODILON BEHRENS;0030;ATENDIMENTO AMBULATORIAL, EMERGENCIAL E HOSPITALAR;2875;Gestão da Assistência à Saúde;0007;AÇÕES DE ENFRENTAMENTO À COVID-19;Atendimento realizado;UNIDADE;18053;14442;8665;8665
9;2024;01;SAÚDE;2301;HOSPITAL METROPOLITANO ODILON BEHRENS;0030;ATENDIMENTO AMBULATORIAL, EMERGENCIAL E HOSPITALAR;2900;Serviços Administrativos e Financeiros;0001;Serviços Administrativos e Financeiros;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0001;Ações de Vigilância, Prevenção e Controle de Doenças e Agravos - zoonoses;Vistoria realizada;UNIDADE;76100;150000;150000;150000
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0002;Ações de Vigilância Sanitária;Vistoria realizada;PERCENTUAL;60;70;80;90
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0003;Ações de Vigilância Epidemiológica;Investigação realizada;PERCENTUAL;80;80;80;80
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0004;Gestão de Recursos Humanos;Serviços administrativos;Metas administrativas;0;0;0;0
9;2024;01;SAÚDE;2302;FUNDO MUNICIPAL DE SAÚDE;0028;VIGILÂNCIA EM SAÚDE;2829;Vigilância em Saúde;0005;Ações de Combate ao Aedes Aegypti;Vistoria realizada;UNIDADE;4000000;4200000;4200000;4200000
