Base de apuração;Sequencial;Código UO;Descrição UO;Código Função;Descrição Função;Código Subfunção;Descrição Subfunção;Código Programa;Descrição Programa;Código Ação;Descrição Ação;Código Subação;Descrição Subação;Descrição Produto;Descrição Unidade de Medida;Código Localizador;Descrição Localizador;Meta física;Meta prevista;Meta executada;Observação a respeito da meta
1º quadrimestre;1647;101;CÂMARA MUNICIPAL;1;LEGISLATIVA;31;AÇÃO LEGISLATIVA;1;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;2922;Modernização da Infraestrutura Física do Poder Legislativo Municipal;3;OBRA DE REFORMA E AMPLIAÇÃO DA SUBESTAÇÃO;Obra concluída;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;20;0;Não houve progresso da execução da Meta Física devido decisão estratégica da Administração.
1º quadrimestre;5018;101;CÂMARA MUNICIPAL;1;LEGISLATIVA;31;AÇÃO LEGISLATIVA;1;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;2922;Modernização da Infraestrutura Física do Poder Legislativo Municipal;6;"OBRA DE RETROFIT DOS SISTEMAS ELÉTRICOS; LUMINOTÉCNICO E DE AR CONDICIONADO";Obra concluída;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;20;0;Não houve progresso da execução da Meta Física devido decisão estratégica da Administração.
1º quadrimestre;4991;101;CÂMARA MUNICIPAL;1;LEGISLATIVA;31;AÇÃO LEGISLATIVA;1;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;2922;Modernização da Infraestrutura Física do Poder Legislativo Municipal;11;PROJETO DO PRÉDIO ANEXO;PROJETO ELABORADO;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;30;0;Não houve progresso da execução da Meta Física devido decisão estratégica da Administração.
1º quadrimestre;4971;101;CÂMARA MUNICIPAL;1;LEGISLATIVA;31;AÇÃO LEGISLATIVA;1;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;2922;Modernização da Infraestrutura Física do Poder Legislativo Municipal;14;OBRA DE ADEQUAÇÃO À ACESSIBILIDADE DOS ESPAÇOS DA CMBH;Obra concluída;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;40;0;Não houve progresso da execução da Meta Física devido decisão estratégica da Administração.
1º quadrimestre;4972;101;CÂMARA MUNICIPAL;1;LEGISLATIVA;31;AÇÃO LEGISLATIVA;1;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;2922;Modernização da Infraestrutura Física do Poder Legislativo Municipal;15;OBRA DE ACESSIBILIDADE DAS CALÇADAS EXTERNAS DA CMBH;Obra concluída;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;40;0;Não houve progresso da execução da Meta Física devido decisão estratégica da Administração.
1º quadrimestre;5836;101;CÂMARA MUNICIPAL;1;LEGISLATIVA;31;AÇÃO LEGISLATIVA;1;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;2922;Modernização da Infraestrutura Física do Poder Legislativo Municipal;20;OBRA DE EXECUÇÃO DA CABINE DE MEDIÇÃO;Obra concluída;PERCENTUAL DE EXECUÇÃO;10;Município de Belo Horizonte;Sim;80;0;Não houve progresso da execução da Meta Física devido decisão estratégica da Administração.
1º quadrimestre;6276;201;GABINETE DO PREFEITO;4;ADMINISTRAÇÃO;131;COMUNICAÇÃO SOCIAL;15;DIVULGAÇÃO INSTITUCIONAL DO MUNICÍPIO;2007;Serviços de Divulgação Institucional do Município;2;Campanha de Divulgação Institucional do Município;Campanha realizada;UNIDADE;10;Município de Belo Horizonte;Sim;0;2;"Quantidade de meta física recebida da UO 3200; visto a Lei 11.801/2025 - Reforma Administrativa. CAMPANHAS ABRIL (DENGUE E OUTRAS ARBOVIROSES FAMÍLIA ACOLHEDORA)."
1º quadrimestre;5186;201;GABINETE DO PREFEITO;4;ADMINISTRAÇÃO;122;ADMINISTRAÇÃO GERAL;96;COORDENAÇÃO SUPERIOR MUNICIPAL;2934;BH MAIS FELIZ;1;PROMOÇÃO DE EVENTOS E ATIVIDADES DIVERSAS NAS NOVE REGIONAIS DA CIDADE;Evento realizado;UNIDADE;10;Município de Belo Horizonte;Sim;76;0;"Meta física executada na UO nova; conforme Lei 11.801/2025 - Reforma Administrativa."
1º quadrimestre;1140;501;FUNDO DA PROCURADORIA-GERAL DO MUNICÍPIO;4;ADMINISTRAÇÃO;123;ADMINISTRAÇÃO FINANCEIRA;3;PRESTAÇÃO DE SERVIÇOS JURÍDICOS;2830;Operação do Fundo da Procuradoria-Geral do Município;2;"Fomento à Capacitação; Formação; Aperfeiçoamento; Treinamento e Participação em Eventos";Pessoa capacitada;Pessoa;10;Município de Belo Horizonte;Sim;40;25;"Participação no CONGRESSO INTERNACIONAL DE DIREITO TRIBUTÁRIO; CURSO DE MESTRADO EM DIREITO AMBIENTAL e no II CONGRESSO REGIONAL DA ADVOCACIA PÚBLICA MUNICIPAL SUL-SUDESTE."
1º quadrimestre;4919;600;"SECRETARIA MUNICIPAL DE PLANEJAMENTO; ORÇAMENTO E GESTÃO";4;ADMINISTRAÇÃO;121;PLANEJAMENTO E ORÇAMENTO;4;GESTÃO DO PLANEJAMENTO E ORÇAMENTO;2518;Gestão do Processo de Planejamento e Orçamento;2;Monitoramento Local dos Objetivos de Desenvolvimento Sustentável - ODS;Atividade realizada;UNIDADE;10;Município de Belo Horizonte;Sim;10;1;
