EXERCÍCIO	CÓDIGO ÁREA DE RESULTADO	NOME ÁREA DE RESULTADO	CÓDIGO DO PROGRAMA	NOME DO  PROGRAMA	OBJETIVO DO PROGRAMA	PÚBLICO ALVO DO PROGRAMA	JUSTIFICATIVA DO PROGRAMA	NATUREZA DO PROGRAMA	TIPOLOGIA DO PROGRAMA	CLASSIFICAÇÃO DE GOVERNO	DATA INÍCIO DO PROGRAMA	DATA FIM DO PROGRAMA	UNIDADE GESTORA	CÓDIGO DO INDICADOR	NOME DO INDICADOR	FORMA DE CÁLCULO	UNIDADE DE MEDIDA	FONTE DE DADOS	VALOR DE REFERÊNCIA	DATA APURAÇÃO VALOR DE REFERÊNCIA	ÍNDICE ESPERADO ANO 1	ÍNDICE ESPERADO ANO 2	ÍNDICE ESPERADO ANO 3	ÍNDICE ESPERADO ANO 4	OBSERVAÇÃO
2024	1	SAÚDE	28	VIGILÂNCIA EM SAÚDE	REALIZAR MONITORAMENTO SISTEMÁTICO DO ESTADO DE SAÚDE NO TERRITÓRIO, TENDO COMO ESTRATÉGIA PRIORITÁRIA A EFETIVAÇÃO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE NO MUNICÍPIO.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE AUMENTAR A EFICIÊNCIA OPERACIONAL DA PREVENÇÃO E CONTROLE DAS DOENÇAS E AGRAVOS, REDUZINDO SUA LETALIDADE, PROMOVER A INTEGRAÇÃO DAS ÁREAS DE VIGILÂNCIA E DESENVOLVER PROCESSOS SIMPLIFICADOS DE AVALIAÇÃO DO RISCO EM SAÚDE, FOMENTANDO AS AÇÕES DE PROMOÇÃO À SAÚDE E A INTERSETORIALIDADE E REDUZINDO A MORBIMORTALIDADE POR DOENÇAS E AGRAVOS MAIS PREVALENTES.	CONTÍNUO	FINALÍSTICO	ASSOCIADO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	631	TAXA DE MORTALIDADE PREMATURA PELAS PRINCIPAIS DCNT (PADRONIZADA POR IDADE)	NÚMERO DE ÓBITOS POR DOENÇAS CRÔNICAS NÃO TRANSMISSÍVEIS (DCNT), DE ADULTOS COM IDADE ENTRE 30 E 69 ANOS / POPULAÇÃO RESIDENTE ADULTA COM IDADE ENTRE 30 E 69 ANOS NO MUNICÍPIO DE BELO HORIZONTE X 100.000	ÓBITOS / 100.000	SISTEMA DE INFORMAÇÃO SOBRE MORTALIDADE - SIM / MS	210,75	31/12/2020 00:00	206,5	210,39	208,28	206,19	INDICADOR INFORMADO COM UM ANO DE DEFASAGEM
2024	1	SAÚDE	28	VIGILÂNCIA EM SAÚDE	REALIZAR MONITORAMENTO SISTEMÁTICO DO ESTADO DE SAÚDE NO TERRITÓRIO, TENDO COMO ESTRATÉGIA PRIORITÁRIA A EFETIVAÇÃO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE NO MUNICÍPIO.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE AUMENTAR A EFICIÊNCIA OPERACIONAL DA PREVENÇÃO E CONTROLE DAS DOENÇAS E AGRAVOS, REDUZINDO SUA LETALIDADE, PROMOVER A INTEGRAÇÃO DAS ÁREAS DE VIGILÂNCIA E DESENVOLVER PROCESSOS SIMPLIFICADOS DE AVALIAÇÃO DO RISCO EM SAÚDE, FOMENTANDO AS AÇÕES DE PROMOÇÃO À SAÚDE E A INTERSETORIALIDADE E REDUZINDO A MORBIMORTALIDADE POR DOENÇAS E AGRAVOS MAIS PREVALENTES.	CONTÍNUO	FINALÍSTICO	ASSOCIADO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	703	COBERTURA VACINAL DE POLIOMELITE INATIVADA E PENTAVALENTE	Nº DE TERCEIRAS DOSES APLICADAS DE POLIO E PENTAVALENTE (DTP+HIB+HEP B) EM MENORES DE 1 ANO DE IDADE /QUANTIDADE DE CRIANÇAS MENORES DE 1 ANO CADASTRADAS, IDENFICADAS E VINCULADAS CORRETAMENTE NO MUNICÍPIO NO PERÍODO X 100	PERCENTUAL	SISTEMA DE INFORMAÇÕES DO PROGRAMA NACIONAL DE IMUNIZAÇÕES - SIPNI	56,66	31/12/2020 00:00	95	95	95	95	
2024	1	SAÚDE	114	ATENÇÃO SECUNDÁRIA E TERCIÁRIA À SAÚDE	AMPLIAR E OTIMIZAR AS REDES DE ATENÇÃO À SAÚDE SECUNDÁRIA E TERCIÁRIA DO MUNICÍPIO, BUSCANDO A INTEGRALIDADE DO CUIDADO E A AMPLIAÇÃO DO ACESSO E SUBSIDIANDO A ATENÇÃO PRIMÁRIA À SAÚDE, COM A OFERTA DE AÇÕES E SERVIÇOS ESPECIALIZADOS.	POPULAÇÃO USUÁRIA DO SUS DE BELO HORIZONTE.	BUSCA-SE O FORTALECIMENTO DA ATENÇÃO HOSPITALAR, AMBULATORIAL ESPECIALIZADA E DE URGÊNCIA E EMERGÊNCIA, AUMENTANDO A SATISFAÇÃO DO USUÁRIO COM OS SERVIÇOS E A GESTÃO DA SAÚDE, EXECUTANDO-OS DE FORMA RESOLUTIVA, HUMANIZADA, TRANSPARENTE E COM CONTROLE SOCIAL, EQUACIONANDO O DÉFICIT DE LEITOS DE URGÊNCIA E EMERGÊNCIA, REDUZINDO O TEMPO DE ATENDIMENTO NOS SERVIÇOS E APRIMORANDO A REGULAÇÃO ASSISTENCIAL E O MONITORAMENTO EM TODOS OS PONTOS DA REDE DE ATENÇÃO À SAÚDE.	CONTÍNUO	FINALÍSTICO	ASSOCIADO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	704	PERCENTUAL DE CONSULTAS E EXAMES ESPECIALIZADAS AGENDADOS EM ATÉ 60 DIAS	NÚMERO DE AGENDAMENTOS, NO PERÍODO, REALIZADOS ATÉ 60 DIAS DA DATA DA SOLICITAÇÃO NA REDE SUS BH/NÚMERO TOTAL DE AGENDAMENTOS, NO MESMO PERÍODO, NA REDE SUS BH X100	PERCENTUAL	SIGRAH/PAINEL	48,75	01/02/2021 00:00	50	55	60	65	FONTE DOS DADOS ALTERADA NA REVISÃO DO PPAG 2024/2025 EM RAZÃO DA DESCONTINUIDADE DA UTILIZAÇÃO DO SISREDE.
2024	1	SAÚDE	157	ATENÇÃO PRIMÁRIA À SAÚDE	AMPLIAR O ACESSO À ATENÇÃO À SAÚDE POR MEIO DE REDES INTEGRADAS, COM ÊNFASE NA ATENÇÃO PRIMÁRIA, PRIORIZANDO O CUIDADO AOS GRUPOS MAIS VULNERÁVEIS.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE O FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE COMO PORTA DE ENTRADA PREFERENCIAL DA POPULAÇÃO DE BELO HORIZONTE NO SISTEMA DE SAÚDE, BUSCANDO ATENDER E RESOLVER A MAIOR PARTE DE SUAS NECESSIDADES. A ATENÇÃO PRIMÁRIA À SAÚDE, COMO ORIENTADORA DA INTEGRALIDADE DO CUIDADO, VISA AMPLIAR A RESOLUTIVIDADE, A INTEGRAÇÃO E A QUALIFICAÇÃO DAS REDES DE ATENÇÃO E CONTRIBUIR PARA AUMENTAR A EXPECTATIVA DE VIDA COM MAIS QUALIDADE E ESTÍMULO À CORRESPONSABILIZAÇÃO E AO AUTOCUIDADO.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	14	TAXA DE MORTALIDADE INFANTIL	NÚMERO DE ÓBITOS DE RESIDENTES COM MENOS DE 1 ANO DE IDADE / NÚMERO TOTAL DE NASCIDOS VIVOS DE MÃES RESIDENTES X 1.000	ÓBITOS / 1.000	SISTEMA DE INFORMAÇÃO SOBRE MORTALIDADE / SISTEMA DE INFORMAÇÃO SOBRE NASCIDOS VIVOS	10,5	31/12/2020 00:00	9,4	9,3	9,2	9,1	INDICADOR INFORMADO COM UM ANO DE DEFASAGEM
2024	1	SAÚDE	157	ATENÇÃO PRIMÁRIA À SAÚDE	AMPLIAR O ACESSO À ATENÇÃO À SAÚDE POR MEIO DE REDES INTEGRADAS, COM ÊNFASE NA ATENÇÃO PRIMÁRIA, PRIORIZANDO O CUIDADO AOS GRUPOS MAIS VULNERÁVEIS.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE O FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE COMO PORTA DE ENTRADA PREFERENCIAL DA POPULAÇÃO DE BELO HORIZONTE NO SISTEMA DE SAÚDE, BUSCANDO ATENDER E RESOLVER A MAIOR PARTE DE SUAS NECESSIDADES. A ATENÇÃO PRIMÁRIA À SAÚDE, COMO ORIENTADORA DA INTEGRALIDADE DO CUIDADO, VISA AMPLIAR A RESOLUTIVIDADE, A INTEGRAÇÃO E A QUALIFICAÇÃO DAS REDES DE ATENÇÃO E CONTRIBUIR PARA AUMENTAR A EXPECTATIVA DE VIDA COM MAIS QUALIDADE E ESTÍMULO À CORRESPONSABILIZAÇÃO E AO AUTOCUIDADO.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	19	RAZÃO DE MORTALIDADE MATERNA	NÚMERO DE ÓBITOS DE MULHERES RESIDENTES, POR CAUSAS E CONDIÇÕES CONSIDERADAS DE MORTE MATERNA / NÚMERO DE NASCIDOS VIVOS DE MÃES RESIDENTES X 100.000	ÓBITOS / 100.000	SISTEMA DE INFORMAÇÃO SOBRE MORTALIDADE /SISTEMA DE INFORMAÇÃO SOBRE NASCIDOS VIVOS	68,21	31/12/2021 00:00	34,2	36	32,4	28,8	INDICADOR INFORMADO COM UM ANO DE DEFASAGEM. VALOR DE REFERÊNCIA ATUALIZADO NA REVISÃO DO PPAG 2024/2025 PARA MANTER COMPATIBILIZAÇÃO COM O PMS 2022-2025 VIGENTE.
2024	1	SAÚDE	157	ATENÇÃO PRIMÁRIA À SAÚDE	AMPLIAR O ACESSO À ATENÇÃO À SAÚDE POR MEIO DE REDES INTEGRADAS, COM ÊNFASE NA ATENÇÃO PRIMÁRIA, PRIORIZANDO O CUIDADO AOS GRUPOS MAIS VULNERÁVEIS.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE O FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE COMO PORTA DE ENTRADA PREFERENCIAL DA POPULAÇÃO DE BELO HORIZONTE NO SISTEMA DE SAÚDE, BUSCANDO ATENDER E RESOLVER A MAIOR PARTE DE SUAS NECESSIDADES. A ATENÇÃO PRIMÁRIA À SAÚDE, COMO ORIENTADORA DA INTEGRALIDADE DO CUIDADO, VISA AMPLIAR A RESOLUTIVIDADE, A INTEGRAÇÃO E A QUALIFICAÇÃO DAS REDES DE ATENÇÃO E CONTRIBUIR PARA AUMENTAR A EXPECTATIVA DE VIDA COM MAIS QUALIDADE E ESTÍMULO À CORRESPONSABILIZAÇÃO E AO AUTOCUIDADO.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	643	COBERTURA POPULACIONAL ESTIMADA DE SAÚDE BUCAL NA ATENÇÃO BÁSICA	NÚMERO DE EQUIPES DE SAÚDE DA FAMÍLIA COM SAÚDE BUCAL (ESFSB) X 3.450 + (NÚMERO DE EQUIPES DE ATENÇÃO BÁSICA COM SAÚDE BUCAL  PARAMETRIZADA (EABSB PARAM.)  + NÚMERO DE EQUIPES DE SAÚDE DA FAMÍLIA COM SAÚDE BUCAL (ESFSB) EQUIVALENTES) X 3.000/ POPULAÇÃO ESTIMADA DO ANO ANTERIOR X 100	PERCENTUAL	SCNES / IBGE	48,11	31/12/2020 00:00	48,26	48,55	48,55	48,55	
2024	1	SAÚDE	157	ATENÇÃO PRIMÁRIA À SAÚDE	AMPLIAR O ACESSO À ATENÇÃO À SAÚDE POR MEIO DE REDES INTEGRADAS, COM ÊNFASE NA ATENÇÃO PRIMÁRIA, PRIORIZANDO O CUIDADO AOS GRUPOS MAIS VULNERÁVEIS.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE O FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE COMO PORTA DE ENTRADA PREFERENCIAL DA POPULAÇÃO DE BELO HORIZONTE NO SISTEMA DE SAÚDE, BUSCANDO ATENDER E RESOLVER A MAIOR PARTE DE SUAS NECESSIDADES. A ATENÇÃO PRIMÁRIA À SAÚDE, COMO ORIENTADORA DA INTEGRALIDADE DO CUIDADO, VISA AMPLIAR A RESOLUTIVIDADE, A INTEGRAÇÃO E A QUALIFICAÇÃO DAS REDES DE ATENÇÃO E CONTRIBUIR PARA AUMENTAR A EXPECTATIVA DE VIDA COM MAIS QUALIDADE E ESTÍMULO À CORRESPONSABILIZAÇÃO E AO AUTOCUIDADO.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	706	TAXA DE INCIDÊNCIA DE SÍFILIS CONGÊNITA EM MENORES DE UM ANO DE IDADE	NÚMERO DE CASOS NOVOS DE SÍFILIS CONGÊNITA EM MENORES DE UM ANO DE IDADE, EM UM DETERMINADO ANO DE DIAGNÓSTICO E LOCAL DE RESIDÊNCIA / NÚMERO DE NASCIDOS VIVOS DE MÃES RESIDENTES X 1.000	CASOS/1000	SISTEMA DE INFORMAÇÃO DE AGRAVOS DE NOTIFICAÇÃO / SISTEMA DE INFORMAÇÃO DE NASCIDOS VIVOS	9,99	31/12/2019 00:00	8,5	8	7,5	7	
2024	1	SAÚDE	157	ATENÇÃO PRIMÁRIA À SAÚDE	AMPLIAR O ACESSO À ATENÇÃO À SAÚDE POR MEIO DE REDES INTEGRADAS, COM ÊNFASE NA ATENÇÃO PRIMÁRIA, PRIORIZANDO O CUIDADO AOS GRUPOS MAIS VULNERÁVEIS.	POPULAÇÃO DE BELO HORIZONTE, ORGANIZADA POR REGIONAIS DE SAÚDE.	BUSCA-SE O FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE COMO PORTA DE ENTRADA PREFERENCIAL DA POPULAÇÃO DE BELO HORIZONTE NO SISTEMA DE SAÚDE, BUSCANDO ATENDER E RESOLVER A MAIOR PARTE DE SUAS NECESSIDADES. A ATENÇÃO PRIMÁRIA À SAÚDE, COMO ORIENTADORA DA INTEGRALIDADE DO CUIDADO, VISA AMPLIAR A RESOLUTIVIDADE, A INTEGRAÇÃO E A QUALIFICAÇÃO DAS REDES DE ATENÇÃO E CONTRIBUIR PARA AUMENTAR A EXPECTATIVA DE VIDA COM MAIS QUALIDADE E ESTÍMULO À CORRESPONSABILIZAÇÃO E AO AUTOCUIDADO.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	001600387 - SUBSECRETARIA DE ORÇAMENTO, GESTÃO E FINANÇAS	716	COBERTURA POPULACIONAL ESTIMADA NA ATENÇÃO BÁSICA	NÚMERO DE EQUIPES DE SAÚDE DA FAMÍLIA (ESF) X 3.450 + (NÚMERO DE EQUIPES DE ATENÇÃO BÁSICA PARAMETRIZADA (EAB PARAM.)  + NÚMERO DE EQUIPES DE SAÚDE DA FAMÍLIA (ESF) EQUIVALENTES) X 3.000/ POPULAÇÃO ESTIMADA DO ANO ANTERIOR X 100	PERCENTUAL	SCNES / IBGE	100	31/12/2020 00:00	100	100	100	100	
2024	2	EDUCAÇÃO	167	GESTÃO DA POLÍTICA DE EDUCAÇÃO INCLUSIVA E DIVERSIDADE ÉTNICO-RACIAL	PROMOVER SISTEMATICAMENTE UMA POLÍTICA DE EDUCAÇÃO INCLUSIVA QUE CONSIDERE AS DIVERSIDADES E AS CONDIÇÕES DE EQUIDADE, NA PROMOÇÃO DA CIDADANIA NOS AMBIENTES DE CONVIVÊNCIA ESCOLAR.	GESTORES, PROFESSORES, ESTUDANTES E COMUNIDADE ESCOLAR.	O ESPAÇO ESCOLAR CONFIGURA-SE COMO UM DOS CENÁRIOS FUNDAMENTAIS PARA A PROMOÇÃO DA CIDADANIA E CONSTRUÇÃO DE UMA CULTURA DE PAZ. A EDUCAÇÃO INCLUSIVA CONSIDERA VÁRIOS ASPECTOS DA DIVERSIDADE DO CONVÍVIO NO AMBIENTE ESCOLAR.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	000800380 - DIRETORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS	705	PERCENTUAL DE ESTUDANTES COM DEMANDA POR ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE) COM ACESSO AO SERVIÇO	TOTAL DE ESTUDANTES ATENDIDOS NO AEE  X 100 /  NÚMERO DE ESTUDANTES QUE DEMANDAM ATENDIMENTO NO AEE	PERCENTUAL	SECRETARIA MUNICIPAL DE EDUCAÇÃO	61	31/12/2019 00:00	78	86	90	100	
2024	2	EDUCAÇÃO	168	GESTÃO DA POLITICA DO ENSINO FUNDAMENTAL	OFERTAR O ENSINO FUNDAMENTAL NA REDE MUNICIPAL DE EDUCAÇÃO, CONSOLIDANDO PROGRAMAS, PROJETOS E OUTRAS AÇÕES QUE VISEM O FORTALECIMENTO DE UMA EDUCAÇÃO DE QUALIDADE SOCIAL, AMPLIANDO E QUALIFICANDO A POLITICA DE EDUCAÇÃO INTEGRAL.	ESTUDANTES E COMUNIDADE ESCOLAR.	MELHORAR A APRENDIZAGEM DOS ESTUDANTES DO ENSINO FUNDAMENTAL, E DA EDUCAÇÃO DE JOVENS E ADULTOS, REDUZINDO A INFREQUÊNCIA, A TAXA DE EVASÃO E REPROVAÇÃO AO LONGO DA TRAJETÓRIA ESCOLAR, E ELEVANDO A TAXA DE APROVAÇÃO DAS ESCOLAS.	CONTÍNUO	FINALÍSTICO	ESTRATÉGICO	01/01/2022 00:00	31/12/2025 00:00	000800380 - DIRETORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS	707	PERCENTUAL DE ESTUDANTES CERTIFICADOS DAS TURMAS DE EJA CERTIFICAÇÃO	TOTAL DE ESTUDANTES DA EJA CERTIFICADOS X 100 / NÚMERO DE ESTUDANTES MATRICULADOS NAS TURMAS DE EJA CERTIFICAÇÃO	PERCENTUAL	SECRETARIA MUNICIPAL DE EDUCAÇÃO	21,52	31/12/2019 00:00	25	45	47	49	
