EXERCÍCIO;CÓDIGO ÁREA DE RESULTADO;NOME ÁREA DE RESULTADO;CÓDIGO DO PROGRAMA;NOME DO  PROGRAMA;OBJETIVO DO PROGRAMA;PÚBLICO ALVO DO PROGRAMA;JUSTIFICATIVA DO PROGRAMA;NATUREZA DO PROGRAMA;TIPOLOGIA DO PROGRAMA;CLASSIFICAÇÃO DE GOVERNO;DATA INÍCIO DO PROGRAMA;DATA FIM DO PROGRAMA;UNIDADE GESTORA;CÓDIGO DO INDICADOR;NOME DO INDICADOR;FORMA DE CÁLCULO;UNIDADE DE MEDIDA;FONTE DE DADOS;VALOR DE REFERÊNCIA;DATA APURAÇÃO VALOR DE REFERÊNCIA;ÍNDICE ESPERADO ANO 1;ÍNDICE ESPERADO ANO 2;ÍNDICE ESPERADO ANO 3;ÍNDICE ESPERADO ANO 4;OBSERVAÇÃO
2025;11;EIXO ADMINISTRATIVO;0001;ATUAÇÃO LEGISLATIVA DA CÂMARA MUNICIPAL;"1- Processo Legislativo (elaborar, examinar e deliberar sobre proposições legislativas e desenvolvimento de projetos institucionais, bem como fiscalizar os atos das unidades administrativas no Município de Belo Horizonte; 2- Apoio à Administração Pública (coordenar, supervisionar e executar os serviços de apoio e suporte de natureza técnico-administrativos).";ADMINISTRAÇÃO PÚBLICA DO EXECUTIVO E LEGISLATIVO MUNICIPAL.;COMPETE À CÂMARA MUNICIPAL DE BELO HORIZONTE LEGISLAR SOBRE AS MATÉRIAS DO MUNICÍPIO, ATRAVÉS DE ATOS NORMATIVOS QUE EXTERIORIZAM A FUNÇÃO LEGISLATIVA MUNICIPAL. DECORRENTE DESTA FUNÇÃO LEGISLATIVA, A CÂMARA MUNICIPAL EXERCE, AINDA, A FISCALIZAÇÃO DOS NEGÓCIOS PÚBLICOS DO MUNICÍPIO, MEDIANTE CONTROLE EXTERNO. A CÂMARA EXERCE TAMBÉM ATRIBUIÇÕES DE SUA COMPETÊNCIA PRIVATIVA, ENVOLVENDO A PRÁTICA DE ATOS CONCRETOS, DE RESOLUÇÕES REFERENDÁRIAS E DE JULGAMENTO TÉCNICO, QUE CONFIGURAM SUA FUNÇÃO DELIBERATIVA. POR ÚLTIMO, A CÂMARA MUNICIPAL DE BELO HORIZONTE EXERCE A FUNÇÃO JULGADORA, ATRAVÉS DO JULGAMENTO DOS ATOS DO PREFEITO E DOS VEREADORES.;Contínuo;GESTÃO DE POLÍTICAS PÚBLICAS;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;003 - PODER LEGISLATIVO;;;;;;;;;;;;
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0003;PRESTAÇÃO DE SERVIÇOS JURÍDICOS;Cobrança judicial da divida ativa e defesa judicial nas ações de natureza tributária e fiscal.;PREFEITURA E MUNÍCIPES DE BELO HORIZONTE.;DEFESA JUDICIAL E EXTRAJUDICIAL DO MUNICÍPIO NA COBRANÇA DA DÍVIDA ATIVA.;Contínuo;GESTÃO DE POLÍTICAS PÚBLICAS;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;000600006 - DIRETORIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;;;;;;;;;;;;
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0004;GESTÃO DO PLANEJAMENTO E ORÇAMENTO;"1- GERIR O PROCESSO ORÇAMENTÁRIO MUNICIPAL POR MEIO DOS INSTRUMENTOS DE PLANEJAMENTO GOVERNAMENTAL - PPAG, LDO E LOA, ACOMPANHANDO E AVALIANDO A GESTÃO DO ORÇAMENTO DA PBH, DO PONTO DE VISTA GERENCIAL, LEGAL, ESCRITURAL E SOCIAL; 2- ANALISAR A PROGRAMAÇÃO ORÇAMENTÁRIA, À LUZ DA EVOLUÇÃO DA RECEITA FISCAL DO MUNICÍPIO, PROVISIONANDO RECURSOS DURANTE O EXERCÍCIO FINANCEIRO  PARA OPERAÇÃO E MANUTENÇÃO DOS SERVIÇOS  GOVERNAMENTAIS; 3- CONTRIBUIR PARA O EQUILÍBRIO FISCAL DO MUNICÍPIO, ATRAVÉS DO CONTROLE EFICAZ DOS CRÉDITOS ORÇAMENTÁRIOS ANUAIS APROVADOS; POPULAÇÃO DE BH/ESCOLAS DE ENSINO SUPERIOR/EMPRESAS/GOVERNOS.4- VIABILIZAR A CELEBRAÇÃO DE INSTRUMENTOS COM INGRESSO DE RECURSOS FINANCEIROS NO MUNICÍPIO (OPERAÇÕES DE CRÉDITO, CONVÊNIOS, DENTRE OUTROS) FORNECENDO A DOCUMENTAÇÃO INSTITUCIONAL E FISCAL EXIGIDA PELA LEGISLAÇÃO VIGENTE, BEM COMO ACOMPANHAR A EXECUÇÃO E PRESTAÇÃO DE CONTAS DOS MESMOS. 5- ACOMPANHAR E MANTER A ADIMPLÊNCIA DO MUNICÍPIO JUNTO AOS GOVERNOS FEDERAL E ESTADUAL, PROVIDENCIANDO A RENOVAÇÃO DAS CERTIDÕES DE REGULARIDADE MUNICIPAL. 6. SUPERVISIONAR OS PROJETOS ESTRATÉGICOS, COORDENANDO A POLÍTICA DE CONTRATUALIZAÇÃO DE RESULTADOS E O PROCESSO DE PACTUAÇÃO, FORMALIZAÇÃO, MONITORAMENTO E AVALIAÇÃO DOS CONTRATOS DE METAS E DESEMPENHO.";PREFEITURA DE BELO HORIZONTE.;A GESTÃO ORÇAMENTÁRIA DO MUNICÍPIO DE BELO HORIZONTE NECESSITA DOS INSTRUMENTOS DO PLANEJAMENTO GOVERNAMENTAL PARA CONSECUÇÃO PLENA DE SUAS FUNÇÕES PÚBLICAS. O PLANEJAMENTO DAS AÇÕES ORÇAMENTÁRIAS TORNA-SE IMPERATIVO NA ETAPA DE PRIORIZAÇÃO E ARTICULAÇÃO DOS PROGRAMAS DE TRABALHO SETORIAIS E, PRINCIPALMENTE, INTERSETORIAIS, EM EXECUÇÃO NA PBH. DIANTE DISSO, O ORDENAMENTO E COORDENAÇÃO SUPERIOR EXERCIDOS PELOS ÓRGÃOS RESPONSÁVEIS PELO PLANEJAMENTO ORÇAMENTÁRIO CONSTITUEM OS CONDICIONANTES ESSENCIAIS PARA OBTENÇÃO, COM QUALIDADE, DO ATENDIMENTO ÀS DEMANDAS SOCIAIS. O ACOMPANHAMENTO E A MANUTENÇÃO DA ADIMPLÊNCIA MUNICIPAL JUNTO AOS GOVERNOS FEDERAL E ESTADUAL, ATENDENDO A TODAS AS OBRIGAÇÕES LEGAIS, FISCAIS, FINANCEIRAS, TRABALHISTAS E PREVIDENCIÁRIAS, É CONDIÇÃO ESSENCIAL PARA QUE O MUNICÍPIO POSSA CELEBRAR OS INSTRUMENTOS DE INGRESSO QUE POSSIBILITEM O RECEBIMENTO DE RECURSOS QUE VIABILIZEM A EXECUÇÃO DE PROJETOS E AÇÕES DE INTERESSE DA POPULAÇÃO. O ACOMPANHAMENTO DA EXECUÇÃO E PRESTAÇÃO DE CONTAS DESSES INSTRUMENTOS É FUNDAMENTAL PARA QUE SE GARANTA A BOA E CORRETA UTILIZAÇÃO DOS RECURSOS PÚBLICOS DE ACORDO COM A LEGISLAÇÃO ESTABELECIDA, PERMITINDO, ASSIM, QUE NOVOS RECURSOS POSSAM SER CAPTADOS EM BENEFÍCIO DA CIDADE E SEUS CIDADÃOS.AS AÇÕES PRIORITÁRIAS DO PODER EXECUTIVO MUNICIPAL DEPENDEM DE INTENSA SINERGIA ENTRE OS INSTRUMENTOS DE PLANEJAMENTO. A EXECUÇÃO DA ESTRATÉGIA ENVOLVE O COMPROMISSO DOS DIFERENTES ÓRGÃOS E ENTIDADES EM SUA RESPECTIVA ÁREA DE RESULTADO COMO TAMBÉM EM AÇÕES ARTICULADAS. TAL ESFORÇO MÚTUO ENVOLVE UMA EFETIVA POLÍTICA DE MONITORAMENTO E DE CONTRATUALIZAÇÃO DE RESULTADOS, COM VISTAS A OTIMIZAR A TOMADA DE DECISÕES E AS ENTREGAS DO MUNICÍPIO.;Contínuo;GESTÃO DE POLÍTICAS PÚBLICAS;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;001400057 - SUBSECRETARIA DE PLANEJAMENTO E ORÇAMENTO;;;;;;;;;;;;
2025;06;DESENVOLVIMENTO ECONÔMICO E TURISMO;0005;RELAÇÕES INTERNACIONAIS;Envidar esforços para que o Município de Belo Horizonte se mantenha como pólo atrativo de grandes eventos internacionais e, ainda, empenhar ações que possam contribuir para o desenvolvimento econômico e social local, inclusive no que se refere à disseminação local de questões relacionadas aos Direitos Humanos, Cidadania, Igualdade de Gênero, Inclusão Social, algumas das Metas do Milênio propostas pela Organização das Nações Unidas - ONU.;PREFEITURA DE BELO HORIZONTE E MUNÍCIPES.;O PRESENTE PROGRAMA É UM DOS INSTRUMENTOS DE CONTRIBUIÇÃO À INSERÇÃO DE BELO HORIZONTE NA COMUNIDADE INTERNACIONAL.;Contínuo;FINALÍSTICO;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;000700007 - DIRETORIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;761;AÇÕES E ATIVIDADES INTERNACIONAIS DE BELO HORIZONTE;SOMATÓRIO DE ATIVIDADES RELACIONADAS A INTERNACIONALIZAÇÃO DE BELO HORIZONTE E SUAS POLÍTICAS PÚBLICAS, ATRAÇÃO DE INVESTIMENTOS INTERNACIONAIS E VINCULAÇÕES INTERNACIONAIS DO MUNICÍPIO EM ORGANISMOS INTERNACIONAIS DIVERSOS.;NÚMERO DE AÇÕES E ATIVIDADES;DIRETORIA DE RELAÇÔES INTERNACIONAIS;53;31/07/2021 00:00;78;78;78;78;DESCRIÇÃO DA FÓRMULA DE CÁLCULO ALTERADA NA REVISÃO DO PPAG 2024/2025.
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0007;APOIO ADMINISTRATIVO E FINANCEIRO;Apoiar os órgãos setoriais na gestão dos recursos humanos administrativos e financeiros, objetivando a realização das ações governamentais.;PREFEITURA DE BELO HORIZONTE.;OS ÓRGÃOS DA PBH, EXECUTORES SEJA DE PROGRAMAS FINALÍSTICOS OU DE APOIO ADMINISTRATIVO, DEPENDEM, PARA O PERFEITO ANDAMENTO DE SUAS ROTINAS E ATIVIDADES, DE UMA SÉRIE DE PROCEDIMENTOS ADMINISTRATIVOS E FINANCEIROS QUE VIABILIZAM A EXECUÇÃO DE SUAS ATIVIDADES.;Contínuo;APOIO ADMINISTRATIVO;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;001000024 - SUBSECRETARIA DE ADMINISTRAÇÃO E LOGÍSTICA;;;;;;;;;;;;
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0012;GESTÃO DO SISTEMA DE CONTROLE INTERNO;"1- AVALIAR O CUMPRIMENTO DAS METAS PREVISTAS NO PLANO PLURIANUAL DOS PROGRAMAS DE GOVERNO E DOS ORÇAMENTOS ANUAIS; 2- COMPROVAR A LEGALIDADE E AVALIAR OS RESULTADOS, QUANTO A EFICÁCIA E EFICIÊNCIA DA GESTÃO CONTÁBIL, ORÇAMENTÁRIA, FINANCEIRA E PATRIMONIAL; 3- EXERCER O CONTROLE DAS OPERAÇÕES DE CRÉDITO, AVAIS E GARANTIAS, BEM COMO DOS DIREITOS E HAVERES; 4- APOIAR O CONTROLE EXTERNO NO EXERCICIO DE SUA MISSÃO CONSTITUCIONAL; 5- EXERCER O CONTROLE INTERNO, VISANDO FISCALIZAR O CUMPRIMENTO DAS NORMAS DE FINANÇAS PÚBLICAS VOLTADAS PARA A RESPONSABILIDADE NA GESTÃO FISCAL; 6- ADOÇÃO DE MEDIDAS NECESSÁRIAS A IMPLEMENTAÇÃO E FUNCIONAMENTO DO SISTEMA INTEGRADO DE CONTROLE INTERNO; 7- INSTAURAÇÃO E PROCESSAMENTO DE TOMADAS DE CONTAS ESPECIAIS; 8- COORDENAR E SUPERVISIONAR A ATUAÇÃO DA AUDITORIA GERAL DO MUNICÍPIO, CORREGEDORIA GERAL DO MUNICÍPIO E OUVIDORIA DO MUNICÍPIO.";ÓRGÃOS DA ADMINISTRAÇÃO DIRETA E INDIRETA DO PODER EXECUTIVO MUNICIPAL.;CONTROLAR A REGULARIDADE E A LEGALIDADE DA GESTÃO MUNICIPAL, VISANDO À INTEGRIDADE E À TRANSPARÊNCIA DAS AÇÕES DO MUNICÍPIO.;Contínuo;GESTÃO DE POLÍTICAS PÚBLICAS;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;000300001 - DIRETORIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;732;DEMANDAS DA LEI DE ACESSO À INFORMAÇÃO - LAI ENCERRADAS DENTRO DO PRAZO;DEMANDAS DA LAI ENCERRADAS DENTRO DO PRAZO / TOTAL DE DEMANDAS DA LAI RECEBIDAS * 100;PERCENTUAL;CONTROLADORIA-GERAL DO MUNICÍPIO;85,78;31/12/2020 00:00;95;95;98;95;METAS ALTERADAS NA REVISÃO DO PPAG 2025.
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0012;GESTÃO DO SISTEMA DE CONTROLE INTERNO;"1- AVALIAR O CUMPRIMENTO DAS METAS PREVISTAS NO PLANO PLURIANUAL DOS PROGRAMAS DE GOVERNO E DOS ORÇAMENTOS ANUAIS; 2- COMPROVAR A LEGALIDADE E AVALIAR OS RESULTADOS, QUANTO A EFICÁCIA E EFICIÊNCIA DA GESTÃO CONTÁBIL, ORÇAMENTÁRIA, FINANCEIRA E PATRIMONIAL; 3- EXERCER O CONTROLE DAS OPERAÇÕES DE CRÉDITO, AVAIS E GARANTIAS, BEM COMO DOS DIREITOS E HAVERES; 4- APOIAR O CONTROLE EXTERNO NO EXERCICIO DE SUA MISSÃO CONSTITUCIONAL; 5- EXERCER O CONTROLE INTERNO, VISANDO FISCALIZAR O CUMPRIMENTO DAS NORMAS DE FINANÇAS PÚBLICAS VOLTADAS PARA A RESPONSABILIDADE NA GESTÃO FISCAL; 6- ADOÇÃO DE MEDIDAS NECESSÁRIAS A IMPLEMENTAÇÃO E FUNCIONAMENTO DO SISTEMA INTEGRADO DE CONTROLE INTERNO; 7- INSTAURAÇÃO E PROCESSAMENTO DE TOMADAS DE CONTAS ESPECIAIS; 8- COORDENAR E SUPERVISIONAR A ATUAÇÃO DA AUDITORIA GERAL DO MUNICÍPIO, CORREGEDORIA GERAL DO MUNICÍPIO E OUVIDORIA DO MUNICÍPIO.";ÓRGÃOS DA ADMINISTRAÇÃO DIRETA E INDIRETA DO PODER EXECUTIVO MUNICIPAL.;CONTROLAR A REGULARIDADE E A LEGALIDADE DA GESTÃO MUNICIPAL, VISANDO À INTEGRIDADE E À TRANSPARÊNCIA DAS AÇÕES DO MUNICÍPIO.;Contínuo;GESTÃO DE POLÍTICAS PÚBLICAS;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;000300001 - DIRETORIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;733;DEMANDAS DA OUVIDORIA ENCERRADAS DENTRO DO PRAZO;DEMANDAS DA OUVIDORIA ENCERRADAS DENTRO DO PRAZO / TOTAL DE DEMANDAS DA OUVIDORIA RECEBIDAS NO PERÍODO * 100;PERCENTUAL;CONTROLADORIA-GERAL DO MUNICÍPIO;88,47;31/12/2020 00:00;80;82;84;85;METAS ALTERADAS NA REVISÃO DO PPAG 2025.
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0012;GESTÃO DO SISTEMA DE CONTROLE INTERNO;"1- AVALIAR O CUMPRIMENTO DAS METAS PREVISTAS NO PLANO PLURIANUAL DOS PROGRAMAS DE GOVERNO E DOS ORÇAMENTOS ANUAIS; 2- COMPROVAR A LEGALIDADE E AVALIAR OS RESULTADOS, QUANTO A EFICÁCIA E EFICIÊNCIA DA GESTÃO CONTÁBIL, ORÇAMENTÁRIA, FINANCEIRA E PATRIMONIAL; 3- EXERCER O CONTROLE DAS OPERAÇÕES DE CRÉDITO, AVAIS E GARANTIAS, BEM COMO DOS DIREITOS E HAVERES; 4- APOIAR O CONTROLE EXTERNO NO EXERCICIO DE SUA MISSÃO CONSTITUCIONAL; 5- EXERCER O CONTROLE INTERNO, VISANDO FISCALIZAR O CUMPRIMENTO DAS NORMAS DE FINANÇAS PÚBLICAS VOLTADAS PARA A RESPONSABILIDADE NA GESTÃO FISCAL; 6- ADOÇÃO DE MEDIDAS NECESSÁRIAS A IMPLEMENTAÇÃO E FUNCIONAMENTO DO SISTEMA INTEGRADO DE CONTROLE INTERNO; 7- INSTAURAÇÃO E PROCESSAMENTO DE TOMADAS DE CONTAS ESPECIAIS; 8- COORDENAR E SUPERVISIONAR A ATUAÇÃO DA AUDITORIA GERAL DO MUNICÍPIO, CORREGEDORIA GERAL DO MUNICÍPIO E OUVIDORIA DO MUNICÍPIO.";ÓRGÃOS DA ADMINISTRAÇÃO DIRETA E INDIRETA DO PODER EXECUTIVO MUNICIPAL.;CONTROLAR A REGULARIDADE E A LEGALIDADE DA GESTÃO MUNICIPAL, VISANDO À INTEGRIDADE E À TRANSPARÊNCIA DAS AÇÕES DO MUNICÍPIO.;Contínuo;GESTÃO DE POLÍTICAS PÚBLICAS;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;000300001 - DIRETORIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;783;DEMANDAS DE PARECERES RELACIONADOS A CONFLITO DE INTERESSES RESPONDIDAS NO PRAZO;DEMANDAS DE PARECERES ENCERRADOS DENTRO DO PRAZO / TOTAL DE DEMANDAS DE PARECERES RECEBIDAS NO PERÍODO * 100;PERCENTUAL;BH DIGITAL;80;11/08/2023 00:00;0;0;90;90;INDICADOR INSERIDO NA REVISÃO DO PPAG 2024/2025 E ALTERADO NA REVISÃO DO PPAG 2025.
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0013;GESTÃO DO SISTEMA TRIBUTÁRIO MUNICIPAL;"1- Desenvolver as atividades relativas à cobrança de créditos fiscais e tributários inscritos em dívida ativa; 2- Manter coletânea atualizada da legislação tributária municipal, orientando os contribuintes sobre sua correta aplicação; 3- Desenvolver as atividades relativas ao lançamento, arrecadação e fiscalização de tributos mobiliários e imobiliários, mantendo atualizado o cadastro respectivo; 4- Desenvolver as atividades relativas à cobrança de créditos fiscais e tributários e de fiscalização; 5- Julgar em primeiro grau e grau superior de recursos os processos relativos aos créditos fiscais e tributários do município, observando as normas legais e regulamentares.";PREFEITURA DE BELO HORIZONTE E CONTRIBUINTES.;MONITORAMENTO SISTEMÁTICO DO RECOLHIMENTO DOS IMPOSTOS MUNICIPAIS E COBRANÇA DOS CONTRIBUINTES COM OMISSÃO OU INADIMPLÊNCIA.;Contínuo;FINALÍSTICO;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;001000005 - SUBSECRETARIA DA RECEITA MUNICIPAL;613;TAXA DE CRESCIMENTO REAL DA ARRECADAÇÃO TRIBUTÁRIA;VALOR TOTAL DA ARRECADAÇÃO TRIBUTÁRIA NO ANO / VALOR  TOTAL DA ARRECADAÇÃO TRIBUTÁRIA NO ANO ANTERIOR EM VALORES ATUALIZADOS X 100;PERCENTUAL;SECRETARIA MUNICIPAL DE FAZENDA;-4,2;31/12/2020 00:00;2;3;5;5; 
2025;10;ATENDIMENTO AO CIDADÃO E MELHORIA DA GESTÃO PÚBLICA;0013;GESTÃO DO SISTEMA TRIBUTÁRIO MUNICIPAL;"1- Desenvolver as atividades relativas à cobrança de créditos fiscais e tributários inscritos em dívida ativa; 2- Manter coletânea atualizada da legislação tributária municipal, orientando os contribuintes sobre sua correta aplicação; 3- Desenvolver as atividades relativas ao lançamento, arrecadação e fiscalização de tributos mobiliários e imobiliários, mantendo atualizado o cadastro respectivo; 4- Desenvolver as atividades relativas à cobrança de créditos fiscais e tributários e de fiscalização; 5- Julgar em primeiro grau e grau superior de recursos os processos relativos aos créditos fiscais e tributários do município, observando as normas legais e regulamentares.";PREFEITURA DE BELO HORIZONTE E CONTRIBUINTES.;MONITORAMENTO SISTEMÁTICO DO RECOLHIMENTO DOS IMPOSTOS MUNICIPAIS E COBRANÇA DOS CONTRIBUINTES COM OMISSÃO OU INADIMPLÊNCIA.;Contínuo;FINALÍSTICO;ASSOCIADO;01/01/2022 00:00;31/12/2025 00:00;001000005 - SUBSECRETARIA DA RECEITA MUNICIPAL;737;TAXA DE ADIMPLÊNCIA DO ISS;VALOR DO TRIBUTO LANÇADO E RECOLHIDO DENTRO DO PRAZO/VALOR TOTAL LANÇADO * 100;PERCENTUAL;SECRETARIA MUNICIPAL DE FAZENDA;88,2;31/12/2020 00:00;92;93;94;95; 
